"","website","quality"
"270","3","mostly correct"
"271","1","factually correct"
"272","3","mostly correct"
"273","2","factually correct"
"274","1","factually correct"
"275","3","factually correct"
"276","2","mostly correct"
"277","1","factually correct"
"278","2","factually correct"
"279","2","factually correct"
"280","2","mostly correct"
"281","2","factually correct"
"282","1","fake news"
"283","1","fake news"
"284","3","fake news"
"285","1","factually correct"
"286","1","factually correct"
"287","2","factually correct"
"288","1","mostly correct"
"289","2","mostly correct"
"290","1","mostly correct"
"291","3","fake news"
"292","3","mostly correct"
"293","1","mostly correct"
"294","2","fake news"
"295","1","mostly correct"
"296","1","factually correct"
"297","3","factually correct"
"298","2","mostly correct"
"299","1","fake news"
"300","1","factually correct"
"301","2","factually correct"
"302","2","factually correct"
"303","1","factually correct"
"304","1","factually correct"
"305","3","factually correct"
"306","3","factually correct"
"307","2","mostly correct"
"308","1","factually correct"
"309","1","fake news"
"310","1","fake news"
"311","1","fake news"
"312","3","mostly correct"
"313","2","factually correct"
"314","1","factually correct"
"315","1","mostly correct"
"316","3","mostly correct"
"317","1","fake news"
"318","2","factually correct"
"319","3","factually correct"
"320","3","mostly correct"
"321","2","factually correct"
"322","2","factually correct"
"323","1","factually correct"
"324","1","factually correct"
"325","2","mostly correct"
"326","3","factually correct"
"327","2","fake news"
"328","3","fake news"
"329","3","mostly correct"
"330","3","fake news"
"331","3","mostly correct"
"332","1","mostly correct"
"333","1","factually correct"
"334","2","factually correct"
"335","3","mostly correct"
"336","2","factually correct"
"337","2","factually correct"
"338","1","mostly correct"
"339","3","factually correct"
"340","1","factually correct"
"341","2","mostly correct"
"342","1","factually correct"
"343","3","mostly correct"
"344","2","factually correct"
"345","1","mostly correct"
"346","1","factually correct"
"347","3","factually correct"
"348","2","factually correct"
"349","3","mostly correct"
"350","3","factually correct"
"351","2","fake news"
"352","2","mostly correct"
"353","1","factually correct"
"354","1","mostly correct"
"355","3","mostly correct"
"356","2","factually correct"
"357","3","mostly correct"
"358","3","factually correct"
"359","2","factually correct"
"360","2","mostly correct"
"361","2","factually correct"
"362","2","fake news"
"363","1","factually correct"
"364","3","mostly correct"
"365","2","mostly correct"
"366","2","mostly correct"
"367","2","fake news"
"368","3","factually correct"
"369","2","factually correct"
"370","1","mostly correct"
"371","1","factually correct"
"372","1","mostly correct"
"373","3","factually correct"
"374","1","factually correct"
"375","3","factually correct"
"376","3","fake news"
"377","1","factually correct"
"378","1","factually correct"
"379","1","factually correct"
"380","3","factually correct"
"381","2","factually correct"
"382","2","factually correct"
"383","2","factually correct"
"384","1","factually correct"
"385","2","mostly correct"
"386","3","mostly correct"
"387","1","factually correct"
"388","3","mostly correct"
"389","1","fake news"
"390","1","factually correct"
"391","3","mostly correct"
"392","2","mostly correct"
"393","2","factually correct"
"394","1","mostly correct"
"395","3","mostly correct"
"396","2","factually correct"
"397","3","factually correct"
"398","3","factually correct"
"399","2","mostly correct"
"400","1","factually correct"
"401","1","mostly correct"
"402","2","mostly correct"
"403","2","factually correct"
"404","2","factually correct"
"405","3","mostly correct"
"406","1","factually correct"
"407","3","mostly correct"
"408","1","fake news"
"409","1","factually correct"
"410","2","fake news"
"411","1","fake news"
"412","2","mostly correct"
"413","1","factually correct"
"414","3","factually correct"
"415","1","factually correct"
"416","1","mostly correct"
"417","1","factually correct"
"418","3","factually correct"
"419","2","factually correct"
"420","1","factually correct"
"421","1","mostly correct"
"422","2","mostly correct"
"423","3","factually correct"
"424","3","mostly correct"
"425","2","factually correct"
"426","1","mostly correct"
"427","2","factually correct"
"428","2","factually correct"
"429","3","fake news"
"430","2","mostly correct"
"431","2","fake news"
"432","2","mostly correct"
"433","2","mostly correct"
"434","1","mostly correct"
"435","3","fake news"
"436","1","factually correct"
"437","2","factually correct"
"438","1","factually correct"
"439","1","mostly correct"
"440","2","mostly correct"
"441","2","factually correct"
"442","3","factually correct"
"443","2","mostly correct"
"444","3","factually correct"
"445","1","factually correct"
"446","2","fake news"
"447","1","factually correct"
"448","3","factually correct"
"449","2","mostly correct"
"450","1","mostly correct"
